month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202605,26755,"rio, wv",456500.0,-0.3237,0.1069,2,1.0,-0.6667,13.0,-0.3026,-0.7977,0,,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.5,3.0,0.5,1.0,217.0,-0.444,-0.1926,2173.0,0.2568,0.612,456500.0,-0.3237,-0.1558,5,1.5,-0.2857,1.5,-0.5,1.25,1.0
202605,26520,"arthurdale, wv",42483.0,-0.05,,1,0.0,,36.0,3.5,,0,,,0,,,0.0,0.0,,0.0,,,0.0,0.0,,2.0,,,40.0,-0.05,,1056.0,0.0,,42483.0,-0.05,,2,1.0,,2.0,,,0.0
202605,24736,"matoaka, wv",65000.0,-0.0845,0.1818,1,0.0,0.0,25.0,2.3333,-0.8571,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,49.0,-0.0845,-0.1546,1328.0,0.0,0.3979,65000.0,-0.0845,0.1818,1,0.0,0.0,,,,1.0
202605,26845,"old fields, wv",354250.0,-0.0338,0.1427,4,0.1429,-0.2,93.0,0.3858,-0.5466,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.5,0.0,242.0,-0.0943,0.3341,1754.0,-0.0107,0.044,338125.0,-0.0042,0.0372,5,-0.0909,-0.1667,0.25,-0.3214,0.05,0.0
202605,26591,"worthington, wv",301000.0,12.1441,0.5884,1,0.0,0.0,8.0,-0.7922,-0.8797,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,71.0,10.0336,-0.6074,2517.0,-0.2911,1.1788,301000.0,12.1441,0.5884,1,-0.5,0.0,1.0,0.0,0.0,1.0
202605,26767,"wiley ford, wv",258000.0,0.0,-0.0073,0,-1.0,-1.0,102.0,0.619,50.0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.3333,0.0,106.0,0.0,-0.2964,2438.0,0.0,0.4109,258000.0,0.0,-0.0073,1,-0.5,0.0,,,,1.0
202605,26802,"brandywine, wv",250000.0,0.0103,0.046,3,-0.25,0.0,49.0,0.0262,2.2667,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,-0.5,136.0,-0.2754,0.0989,2310.0,0.0498,0.9605,289967.0,0.057,0.3616,4,0.0,0.0,0.3333,,-0.3333,1.0
202605,25506,"branchland, wv",89900.0,0.0,-0.0919,1,-0.6,0.0,50.0,-0.5283,5.6667,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.2,2.0,60.0,0.0353,-0.0919,1489.0,-0.0233,0.0,89900.0,0.0,-0.0919,5,0.0,1.5,3.0,2.0,2.0,1.0
202605,25523,"hamlin, wv",101000.0,0.649,-0.5607,1,0.0,-0.6667,52.0,6.3571,-0.1953,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.5,2.0,53.0,-0.4097,-0.5339,1282.0,0.5262,-0.359,112117.0,0.8305,-0.6086,3,-0.1429,-0.25,3.0,1.0,2.6667,1.0
202605,25411,"berkeley springs, wv",397000.0,-0.0061,0.0889,63,0.0769,0.0328,34.0,-0.2527,-0.2093,24,-0.3333,0.2,0,,,0.0,0.0,0.0,28.0,0.75,0.75,0.2276,0.0805,0.0753,35.0,0.2281,0.0294,243.0,0.0524,0.0915,1817.0,-0.0016,0.0809,423714.0,0.0047,0.0899,95,0.1047,0.0674,0.5556,0.0684,-0.0018,0.0
202605,25661,"williamson, wv",129000.0,0.2056,-0.1623,15,0.1538,0.6667,132.0,-0.0852,1.3274,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,,,0.2667,0.2667,0.2667,1.0,-0.5,-0.75,74.0,-0.0028,-0.1295,1521.0,0.0315,-0.1825,142520.0,0.084,-0.0507,16,0.0323,0.2308,0.0667,-0.0872,-0.3778,1.0
202605,25880,"mount hope, wv",135000.0,-0.1074,-0.069,10,0.0,0.25,83.0,-0.1105,-0.1223,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1176,0.0,3.0,0.0,-0.4,71.0,-0.0212,-0.2056,2259.0,0.0276,0.0,169563.0,-0.0456,-0.1886,12,-0.0769,-0.0769,0.3,0.0,-0.325,0.0
202605,26034,"chester, wv",124700.0,0.0,-0.3749,10,-0.0476,-0.0909,111.0,0.0887,0.4832,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,0.0,,0.2353,-0.0238,0.2353,4.0,0.0,-0.4286,101.0,0.022,-0.2205,1456.0,-0.0284,-0.0459,219470.0,0.0128,-0.1193,13,-0.1034,-0.2353,0.4,0.019,-0.2364,1.0
202605,24915,"arbovale, wv",187450.0,0.0,-0.3184,2,0.0,1.0,41.0,3.3158,-0.776,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,1.0,69.0,0.0,0.1038,2956.0,0.0,-0.3251,187450.0,0.0,-0.3184,3,0.5,2.0,0.5,,0.0,1.0
202605,25901,"oak hill, wv",228500.0,0.3351,0.2452,13,-0.3158,-0.48,32.0,0.1887,-0.4375,4,-0.75,-0.6667,0,,,0.0,0.0,0.0,4.0,1.0,-0.5,0.1212,0.0795,-0.0269,16.0,0.6,0.1429,139.0,0.0953,0.3462,1818.0,0.3447,0.2581,233983.0,0.3196,0.1673,29,-0.0169,-0.2368,1.2308,0.7045,0.6708,0.0
202605,25555,"prichard, wv",119950.0,-0.0925,-0.1728,4,0.6,3.0,22.0,0.1169,-0.1731,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,1.0,,68.0,-0.45,-0.528,2000.0,0.4535,0.9841,139475.0,-0.0785,-0.0381,7,1.3333,6.0,0.5,0.1,,1.0
202605,25081,"foster, wv",144900.0,0.7574,-0.3821,0,-1.0,-1.0,152.0,0.2358,1.6667,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.3333,0.0,70.0,0.4708,-0.4475,1371.0,-0.0013,-0.2549,144900.0,0.7574,-0.3821,2,-0.5,-0.3333,,,,1.0
202605,25306,"charleston, wv",82400.0,0.0,0.1772,6,-0.2941,-0.25,150.0,0.4052,2.0612,4,1.0,0.0,0,,,0.0,0.0,0.0,4.0,,,0.3333,0.3333,0.3333,6.0,0.5,0.2,49.0,-0.0284,-0.1307,1581.0,0.106,0.0859,91600.0,0.1815,0.2279,13,0.0833,0.0,1.0,0.5294,0.375,1.0
202605,24910,"alderson, wv",164900.0,-0.1001,-0.4722,16,-0.0857,0.2308,63.0,-0.3351,0.1455,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.08,0.0,8.0,1.0,,151.0,-0.0196,-0.1316,1555.0,-0.0691,-0.2641,262873.0,-0.0186,-0.2886,23,0.0455,0.7692,0.5,0.2714,0.5,1.0
202605,25820,"camp creek, wv",299500.0,0.0516,-0.0013,1,0.0,0.0,23.0,0.1538,0.6071,4,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.3333,,194.0,0.0639,0.9548,1545.0,-0.0131,-0.4899,299500.0,0.0516,-0.0013,4,0.6,3.0,2.0,0.5,,0.0
202605,26292,"thomas, wv",260000.0,0.0,0.2093,9,0.125,0.0,178.0,0.109,0.2993,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,-0.5,202.0,0.0,-0.1181,942.0,0.0,-0.1904,318111.0,0.1029,0.2003,10,0.1765,-0.0909,0.1111,-0.0139,-0.1111,1.0
202605,26037,"follansbee, wv",127400.0,-0.0158,0.04,12,0.2632,-0.1429,40.0,-0.4139,-0.4872,8,0.3333,1.0,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.1905,0.128,0.0166,8.0,0.4545,-0.3846,85.0,0.0186,-0.2371,1532.0,-0.0739,0.1987,134538.0,-0.0247,-0.1191,20,0.3333,-0.2593,0.6667,0.0877,-0.2619,1.0
